link,service,city,adress,property_type,contract_type,rooms,squared_meters,buy_rent_currency,expensas_currency,buy_rent_price,expensas_price,total_price
https://departamento.mercadolibre.com.ar/MLA-1347173571-2-ambientes-suite-balcon-al-norte-pileta-parrilla-corredor-donado-saavedra-_JM#position=1&search_layout=grid&type=item&tracking_id=39b2c73e-ac31-4245-8a60-33d3e92e239b,mercado_libre,"Crisólogo Larralde Al 4400, Saavedra, Capital Federal",Crisólogo Larralde Al 4400,departamento,venta,2,44,USD,$,98900,9223,108123
https://departamento.mercadolibre.com.ar/MLA-1347010952-venta-departamento-1-ambiente-amoblado-paseo-aldrey-guemes-mar-del-plata-_JM#position=2&search_layout=grid&type=item&tracking_id=39b2c73e-ac31-4245-8a60-33d3e92e239b,mercado_libre,"Gascon Al 1600, Terminal Vieja, Mar Del Plata, Bs.as. Costa Atlántica",Gascon Al 1600,departamento,venta,1,27,USD,$,47000,9500,56500
https://departamento.mercadolibre.com.ar/MLA-1347387234-departamento-3-ambientes-balcon-frente-av-triunvirato-3000-_JM#position=3&search_layout=grid&type=item&tracking_id=39b2c73e-ac31-4245-8a60-33d3e92e239b,mercado_libre,"Av. Triunvirato 3000, Villa Ortúzar, Capital Federal",Av. Triunvirato 3000,departamento,venta,3,58,USD,$,99000,17300,116300
https://departamento.mercadolibre.com.ar/MLA-1347270519-venta-departamento-de-2-ambientes-con-balcon-frances-plaza-colon-mar-del-plata-_JM#position=4&search_layout=grid&type=item&tracking_id=39b2c73e-ac31-4245-8a60-33d3e92e239b,mercado_libre,"Bolivar Al 2100, Plaza Colón, Mar Del Plata, Bs.as. Costa Atlántica",Bolivar Al 2100,departamento,venta,2,40,USD,$,77900,20000,97900
https://departamento.mercadolibre.com.ar/MLA-1347537064-tour-virtual-departamento-en-venta-2-ambientes-en-duplex-con-vista-panoramica-centro-mar-del-plata-_JM#position=5&search_layout=grid&type=item&tracking_id=39b2c73e-ac31-4245-8a60-33d3e92e239b,mercado_libre,"San Luis Al 1800, Centro, Mar Del Plata, Bs.as. Costa Atlántica",San Luis Al 1800,departamento,venta,2,40,USD,$,65900,7000,72900
https://departamento.mercadolibre.com.ar/MLA-1347078934-vendo-departamento-en-el-centro-de-cordoba-a-metros-de-plaza-colon-_JM#position=6&search_layout=grid&type=item&tracking_id=39b2c73e-ac31-4245-8a60-33d3e92e239b,mercado_libre,"Avellaneda Al 300, Centro, Córdoba",Avellaneda Al 300,departamento,venta,2,36,USD,$,37500,4500,42000
https://departamento.mercadolibre.com.ar/MLA-1348108608-departamento-saavedra-3-ambientes-terraza-patio-parrilla-pileta-solarium-deck-_JM#position=7&search_layout=grid&type=item&tracking_id=39b2c73e-ac31-4245-8a60-33d3e92e239b,mercado_libre,"Crisólogo Larralde Al 4400, Saavedra, Capital Federal",Crisólogo Larralde Al 4400,departamento,venta,3,57,USD,$,149000,19300,168300
https://departamento.mercadolibre.com.ar/MLA-1346436928-espectacular-piso-alto-en-edificio-aisenson-en-venta-en-lo-mejor-de-belgrano--_JM#position=8&search_layout=grid&type=item&tracking_id=39b2c73e-ac31-4245-8a60-33d3e92e239b,mercado_libre,"Villanueva Al 1300, Belgrano, Capital Federal",Villanueva Al 1300,departamento,venta,5,263,USD,$,948000,150000,1098000
https://departamento.mercadolibre.com.ar/MLA-1346838185-departamento-3-ambientes-balcon-reciclado-villa-crespo-_JM#position=9&search_layout=grid&type=item&tracking_id=39b2c73e-ac31-4245-8a60-33d3e92e239b,mercado_libre,"Av. Corrientes Al 5900, Villa Crespo, Capital Federal",Av. Corrientes Al 5900,departamento,venta,3,45,USD,$,105000,15000,120000
https://departamento.mercadolibre.com.ar/MLA-1347537551-edificio-colegiales-_JM#position=10&search_layout=grid&type=item&tracking_id=39b2c73e-ac31-4245-8a60-33d3e92e239b,mercado_libre,"Colegiales, Capital Federal",Colegiales,departamento,venta,1,26,USD,$,76100,0,76100
